station,project,lat,lon,building
SHE,Mimer|SF6,55.01903235936983,9.433933145029629,True
SIN,SF6,56.7446343438682,8.687213736789023,True
SKB,Mimer,56.08318741014235,12.500085322972938,True
SKH,Mimer|SF6,56.989497,9.895848,False
SMK,SF6,55.71008960993661,12.58079748589815,True
SPA,SF6,55.478970425242665,12.046949384229508,True
SPR,Mimer|SF6,55.791912584509,12.189149669383736,True
STA,Mimer|SF6,55.888926551663126,12.47312658738483,True
STR,SF6,56.48302807043701,8.582533123308659,True
STS,SF6,55.649532,11.091971,True
STSV,SF6,55.906066831585846,8.582490211557813,True
STV,Mimer|SF6,55.20881682483887,11.25435828556766,True
SVB,SF6,55.06974470447636,10.575371482469402,True
SVGV,SF6,56.12299204558328,8.153031023638409,True
SVS,SF6,55.51311094427016,9.615469095765768,True
SØN,Mimer|SF6,54.92362172518193,9.782100820508644,True
SOS,SF6,55.64279309681158,11.119393046652752,True
TAN,SF6,56.35902459772914,9.595657142363878,True
TEB,Mimer|SF6,56.43105246554416,9.99914430138371,True
TEG,Mimer|SF6,56.02834664506262,12.562344899150046,True
THO,SF6,56.701781,9.89428,True
THY,SF6,55.91013212020781,9.2500866929652,True
TJE,Mimer|SF6,56.47991085008013,9.56618072670038,True
TOR,SF6,55.71785591211872,11.492853247629114,True
TRI,Mimer|SF6,56.27444182224004,10.138428835423404,True
TUP,SF6,55.55602742784582,9.6627874133422,True
VEJ,SF6,55.66008995889133,12.319054093243306,True
VER,Mimer,56.43602234999011,9.575606333203984,True
VHA,Mimer|SF6,57.06346448177953,10.091570429749462,True
VID,SF6,56.09933426724006,8.600374219133206,True
VIL,SF6,56.91772329800724,9.298414077838494,True
VIN,SF6,55.64799017729945,12.15696795009603,True
VIU,Mimer,56.45272965518183,9.570145990562628,True
VLO,SF6,54.83600527259759,11.179197837313358,True
ØLS,Mimer,55.764322215664336,12.14162773401578,True
ØSG,Mimer,55.72271366541663,9.471297569554284,True
ØSH,Mimer,55.205348807601766,11.742799773870184,True
